paths                          , labels
data/Bedroom\bed_574.jpg       , Bedroom
data/Dinning\din_620.jpg       , Dinning
data/Kitchen\kitchen_559.jpg   , Kitchen
data/Dinning\din_380.jpg       , Dinning
data/Dinning\din_870.jpg       , Dinning
data/Bathroom\bath_1010.jpg    , Bathroom
data/Bathroom\bath_1284.jpg    , Bathroom
data/Bathroom\bath_1035.jpg    , Bathroom
data/Livingroom\living_680.jpg , Livingroom
data/Dinning\din_1044.jpg      , Dinning
data/Bathroom\bath_281.jpg     , Bathroom
data/Livingroom\living_28.jpg  , Livingroom
data/Bathroom\bath_1148.jpg    , Bathroom
data/Dinning\din_4.jpg         , Dinning
data/Dinning\din_1439.jpg      , Dinning
data/Kitchen\kitchen_748.jpg   , Kitchen
data/Livingroom\living_649.jpg , Livingroom
data/Bedroom\bed_679.jpg       , Bedroom
data/Livingroom\living_39.jpg  , Livingroom
data/Dinning\din_749.jpg       , Dinning
data/Dinning\din_893.jpg       , Dinning
data/Bedroom\bed_107.jpg       , Bedroom
data/Kitchen\kitchen_14.jpg    , Kitchen
data/Bathroom\bath_780.jpg     , Bathroom
data/Kitchen\kitchen_583.jpg   , Kitchen
data/Livingroom\living_160.jpg , Livingroom
data/Livingroom\living_831.jpg , Livingroom
data/Kitchen\kitchen_602.jpg   , Kitchen
data/Bedroom\bed_84.jpg        , Bedroom
data/Livingroom\living_965.jpg , Livingroom
data/Bathroom\bath_541.jpg     , Bathroom
data/Livingroom\living_80.jpg  , Livingroom
data/Bathroom\bath_1149.jpg    , Bathroom
data/Bathroom\bath_41.jpg      , Bathroom
data/Livingroom\living_505.jpg , Livingroom
data/Dinning\din_97.jpg        , Dinning
data/Bedroom\bed_20.jpg        , Bedroom
data/Kitchen\kitchen_343.jpg   , Kitchen
data/Kitchen\kitchen_1326.jpg  , Kitchen
data/Dinning\din_748.jpg       , Dinning
data/Bedroom\bed_472.jpg       , Bedroom
data/Bedroom\bed_370.jpg       , Bedroom
data/Livingroom\living_665.jpg , Livingroom
data/Livingroom\living_1151.jpg, Livingroom
data/Kitchen\kitchen_1248.jpg  , Kitchen
data/Livingroom\living_1020.jpg, Livingroom
data/Bathroom\bath_749.jpg     , Bathroom
data/Livingroom\living_1061.jpg, Livingroom
data/Bathroom\bath_299.jpg     , Bathroom
data/Bedroom\bed_1205.jpg      , Bedroom
data/Bedroom\bed_1043.jpg      , Bedroom
data/Livingroom\living_718.jpg , Livingroom
data/Livingroom\living_184.jpg , Livingroom
data/Livingroom\living_731.jpg , Livingroom
data/Dinning\din_1443.jpg      , Dinning
data/Dinning\din_1155.jpg      , Dinning
data/Livingroom\living_490.jpg , Livingroom
data/Bathroom\bath_746.jpg     , Bathroom
data/Bathroom\bath_681.jpg     , Bathroom
data/Dinning\din_1395.jpg      , Dinning
data/Livingroom\living_6.jpg   , Livingroom
data/Livingroom\living_1078.jpg, Livingroom
data/Bedroom\bed_1338.jpg      , Bedroom
data/Livingroom\living_425.jpg , Livingroom
data/Livingroom\living_29.jpg  , Livingroom
data/Livingroom\living_1284.jpg, Livingroom
data/Livingroom\living_292.jpg , Livingroom
data/Livingroom\living_795.jpg , Livingroom
data/Kitchen\kitchen_1075.jpg  , Kitchen
data/Dinning\din_1077.jpg      , Dinning
data/Bedroom\bed_1247.jpg      , Bedroom
data/Livingroom\living_531.jpg , Livingroom
data/Bathroom\bath_899.jpg     , Bathroom
data/Bedroom\bed_228.jpg       , Bedroom
data/Dinning\din_1526.jpg      , Dinning
data/Kitchen\kitchen_179.jpg   , Kitchen
data/Livingroom\living_277.jpg , Livingroom
data/Livingroom\living_136.jpg , Livingroom
data/Bathroom\bath_8.jpg       , Bathroom
data/Bathroom\bath_702.jpg     , Bathroom
data/Kitchen\kitchen_464.jpg   , Kitchen
data/Bedroom\bed_351.jpg       , Bedroom
data/Livingroom\living_381.jpg , Livingroom
data/Bathroom\bath_966.jpg     , Bathroom
data/Livingroom\living_581.jpg , Livingroom
data/Dinning\din_1509.jpg      , Dinning
data/Livingroom\living_158.jpg , Livingroom
data/Livingroom\living_1109.jpg, Livingroom
data/Dinning\din_165.jpg       , Dinning
data/Livingroom\living_1315.jpg, Livingroom
data/Livingroom\living_250.jpg , Livingroom
data/Livingroom\living_1063.jpg, Livingroom
data/Bathroom\bath_1044.jpg    , Bathroom
data/Kitchen\kitchen_1235.jpg  , Kitchen
data/Bedroom\bed_1065.jpg      , Bedroom
data/Kitchen\kitchen_88.jpg    , Kitchen
data/Bedroom\bed_623.jpg       , Bedroom
data/Bathroom\bath_755.jpg     , Bathroom
data/Livingroom\living_1255.jpg, Livingroom
data/Bedroom\bed_1343.jpg      , Bedroom
data/Livingroom\living_1053.jpg, Livingroom
data/Bedroom\bed_963.jpg       , Bedroom
data/Bedroom\bed_924.jpg       , Bedroom
data/Bathroom\bath_401.jpg     , Bathroom
data/Kitchen\kitchen_972.jpg   , Kitchen
data/Kitchen\kitchen_850.jpg   , Kitchen
data/Dinning\din_1019.jpg      , Dinning
data/Dinning\din_866.jpg       , Dinning
data/Dinning\din_679.jpg       , Dinning
data/Bedroom\bed_676.jpg       , Bedroom
data/Livingroom\living_877.jpg , Livingroom
data/Dinning\din_1015.jpg      , Dinning
data/Livingroom\living_522.jpg , Livingroom
data/Kitchen\kitchen_785.jpg   , Kitchen
data/Dinning\din_1411.jpg      , Dinning
data/Livingroom\living_865.jpg , Livingroom
data/Kitchen\kitchen_1109.jpg  , Kitchen
data/Bedroom\bed_674.jpg       , Bedroom
data/Bedroom\bed_793.jpg       , Bedroom
data/Livingroom\living_459.jpg , Livingroom
data/Bathroom\bath_298.jpg     , Bathroom
data/Dinning\din_1060.jpg      , Dinning
data/Livingroom\living_1299.jpg, Livingroom
data/Livingroom\living_301.jpg , Livingroom
data/Bedroom\bed_178.jpg       , Bedroom
data/Kitchen\kitchen_1274.jpg  , Kitchen
data/Dinning\din_145.jpg       , Dinning
data/Bedroom\bed_985.jpg       , Bedroom
data/Livingroom\living_1370.jpg, Livingroom
data/Bathroom\bath_1196.jpg    , Bathroom
data/Livingroom\living_21.jpg  , Livingroom
data/Dinning\din_231.jpg       , Dinning
data/Livingroom\living_1325.jpg, Livingroom
data/Livingroom\living_1273.jpg, Livingroom
data/Bathroom\bath_1249.jpg    , Bathroom
data/Kitchen\kitchen_1141.jpg  , Kitchen
data/Bedroom\bed_220.jpg       , Bedroom
data/Dinning\din_1302.jpg      , Dinning
data/Dinning\din_52.jpg        , Dinning
data/Bedroom\bed_528.jpg       , Bedroom
data/Dinning\din_1025.jpg      , Dinning
data/Bathroom\bath_808.jpg     , Bathroom
data/Livingroom\living_1372.jpg, Livingroom
data/Dinning\din_1245.jpg      , Dinning
data/Kitchen\kitchen_885.jpg   , Kitchen
data/Bedroom\bed_1112.jpg      , Bedroom
data/Bedroom\bed_1097.jpg      , Bedroom
data/Bathroom\bath_1124.jpg    , Bathroom
data/Dinning\din_310.jpg       , Dinning
data/Bedroom\bed_269.jpg       , Bedroom
data/Bathroom\bath_383.jpg     , Bathroom
data/Livingroom\living_115.jpg , Livingroom
data/Livingroom\living_244.jpg , Livingroom
data/Livingroom\living_558.jpg , Livingroom
data/Dinning\din_1557.jpg      , Dinning
data/Bathroom\bath_754.jpg     , Bathroom
data/Bathroom\bath_13.jpg      , Bathroom
data/Bathroom\bath_781.jpg     , Bathroom
data/Bedroom\bed_649.jpg       , Bedroom
data/Dinning\din_1388.jpg      , Dinning
data/Dinning\din_381.jpg       , Dinning
data/Kitchen\kitchen_1239.jpg  , Kitchen
data/Bedroom\bed_61.jpg        , Bedroom
data/Livingroom\living_52.jpg  , Livingroom
data/Dinning\din_808.jpg       , Dinning
data/Livingroom\living_696.jpg , Livingroom
data/Dinning\din_85.jpg        , Dinning
data/Bedroom\bed_1042.jpg      , Bedroom
data/Bedroom\bed_631.jpg       , Bedroom
data/Kitchen\kitchen_385.jpg   , Kitchen
data/Livingroom\living_401.jpg , Livingroom
data/Bathroom\bath_1276.jpg    , Bathroom
data/Livingroom\living_1392.jpg, Livingroom
data/Bathroom\bath_1055.jpg    , Bathroom
data/Dinning\din_1545.jpg      , Dinning
data/Dinning\din_552.jpg       , Dinning
data/Bedroom\bed_598.jpg       , Bedroom
data/Bathroom\bath_676.jpg     , Bathroom
data/Dinning\din_833.jpg       , Dinning
data/Kitchen\kitchen_1226.jpg  , Kitchen
